date,regime,macro_grade,n_qualified,n_high,n_traps_blocked,top5_tickers,top5_scores
2026-07-07,BULL_VOLATILE,NEUTRAL,109,5,34,AVGO,NTES,MLI,LOGI,CBOE,0.790,0.786,0.768,0.758,0.756
2026-07-08,BULL_VOLATILE,NEUTRAL,143,4,37,AVGO,AMKR,MU,CBOE,0.830,0.787,0.779,0.767
2026-07-09,BULL_VOLATILE,NEUTRAL,156,3,45,ITUB,NTES,VRTX,0.795,0.770,0.764
2026-07-10,BULL_QUIET,NEUTRAL,101,4,33,AVGO,ZM,SANM,0.799,0.798,0.756
2026-07-13,BULL_QUIET,NEUTRAL,155,7,44,ITUB,AVGO,MU,LOGI,BKNG,0.805,0.790,0.785,0.782,0.772
2026-07-14,BULL_QUIET,NEUTRAL,185,12,40,ITUB,NTES,AVGO,MLI,MU,0.804,0.802,0.787,0.784,0.782
2026-07-15,BULL_QUIET,NEUTRAL,116,7,24,ACGL,TOST,RMD,DXCM,GMED,0.805,0.790,0.763,0.763,0.756
2026-07-16,BULL_QUIET,NEUTRAL,130,5,35,ITUB,BBD,RMD,GMED,CINF,0.799,0.764,0.763,0.760,0.752
2026-07-17,BULL_QUIET,NEUTRAL,196,13,48,FSLR,TSM,QCOM,NTES,TCEHY,0.859,0.851,0.839,0.794,0.792
2026-07-20,BULL_QUIET,NEUTRAL,247,0,228,NVO,FAST,ESLT,CVNA,SYY,0.672,0.633,0.601,0.580,0.554
2026-07-21,BULL_QUIET,NEUTRAL,380,6,105,TSM,AVGO,NTNX,TSN,0.826,0.787,0.787,0.768
2026-07-22,BULL_QUIET,NEUTRAL,143,11,31,FSLR,NVDA,FICO,C,NTES,0.864,0.811,0.802,0.791,0.790
2026-07-23,BULL_QUIET,NEUTRAL,181,8,53,FICO,NVO,ITUB,SYF,DXCM,0.808,0.800,0.799,0.781,0.773
2026-07-24,BULL_QUIET,NEUTRAL,146,14,30,TSM,NVDA,TCEHY,ITUB,ADI,0.823,0.816,0.799,0.798,0.790
2026-07-27,BULL_QUIET,NEUTRAL,172,9,43,PDD,ZM,NVO,TOST,LOGI,0.814,0.793,0.792,0.789,0.787
2026-07-28,BULL_QUIET,NEUTRAL,166,10,45,QCOM,ITUB,FICO,TOST,GMED,0.836,0.801,0.794,0.786,0.754
2026-07-29,BULL_QUIET,NEUTRAL,130,7,37,MU,KB,CTSH,CRDO,BBD,0.795,0.787,0.783,0.767,0.765
2026-07-30,BULL_QUIET,NEUTRAL,138,12,41,TSM,CINF,LOGI,ZM,BKNG,0.857,0.808,0.803,0.789,0.767
2026-07-31,BULL_QUIET,NEUTRAL,95,7,22,COF,GOOGL,HBAN,FIS,MAS,0.816,0.776,0.772,0.772,0.768
2026-08-03,BULL_QUIET,NEUTRAL,131,6,39,NTES,C,MU,NVO,CRDO,0.793,0.791,0.786,0.775,0.771
2026-08-04,BULL_QUIET,NEUTRAL,395,20,96,FSLR,TSM,UMC,NBIX,TCEHY,0.846,0.817,0.812,0.804,0.798
2026-08-05,BULL_QUIET,NEUTRAL,583,28,150,FSLR,UMC,TSM,PDD,ITUB,0.843,0.815,0.814,0.810,0.802
2026-08-06,BULL_QUIET,NEUTRAL,565,25,150,FSLR,NTES,UMC,TSM,ITUB,0.839,0.828,0.812,0.812,0.805
2026-08-07,BULL_QUIET,NEUTRAL,106,9,25,NTES,NBIX,GS,AMKR,TER,0.832,0.794,0.792,0.781,0.775
2026-08-10,BULL_QUIET,NEUTRAL,533,29,142,NTES,ITUB,COF,IT,PDD,0.833,0.825,0.816,0.813,0.810
2026-08-11,BULL_QUIET,NEUTRAL,209,13,51,FSLR,UMC,CINF,CTSH,GOOGL,0.831,0.819,0.801,0.792,0.774
2026-08-12,BULL_QUIET,NEUTRAL,104,10,30,COF,DVA,CTSH,NXPI,NVO,0.797,0.795,0.790,0.787,0.774
2026-08-13,BULL_QUIET,NEUTRAL,278,13,77,FSLR,ITUB,NTES,UMC,TOST,0.838,0.830,0.822,0.817,0.796
2026-08-14,BULL_QUIET,NEUTRAL,118,7,29,NBIX,TOST,DVA,AMKR,TROW,0.810,0.796,0.795,0.795,0.765
2026-08-17,BULL_QUIET,NEUTRAL,143,3,39,NBIX,AVGO,TSM,0.811,0.784,0.771
2026-08-18,BULL_QUIET,NEUTRAL,654,35,178,FSLR,NTES,ITUB,SMCI,TSM,0.843,0.833,0.828,0.826,0.819
2026-08-19,BULL_QUIET,NEUTRAL,632,29,190,TSM,SMCI,IT,ITUB,NBIX,0.847,0.830,0.821,0.817,0.812
2026-08-20,BULL_QUIET,NEUTRAL,109,9,20,TSM,SMCI,CINF,CTSH,GOOGL,0.836,0.820,0.794,0.791,0.776
2026-08-21,BULL_QUIET,NEUTRAL,92,5,28,FUTU,AVGO,PINS,BBD,FIS,0.801,0.781,0.775,0.771,0.759
2026-08-24,BULL_QUIET,NEUTRAL,444,34,125,FUTU,ITUB,NTES,PDD,PYPL,0.840,0.828,0.816,0.813,0.811
2026-08-25,BULL_QUIET,NEUTRAL,155,15,37,SYF,NBIX,NVDA,FSLR,PYPL,0.814,0.812,0.803,0.796,0.795
2026-08-26,BULL_QUIET,NEUTRAL,146,14,36,TSM,FUTU,NVDA,NTES,CINF,0.834,0.829,0.807,0.803,0.801
2026-08-27,BULL_QUIET,NEUTRAL,138,8,34,COF,ITUB,ZTO,GS,AMKR,0.852,0.829,0.801,0.787,0.785
2026-08-28,BULL_QUIET,NEUTRAL,125,14,25,CINF,ZM,C,UMC,TER,0.805,0.799,0.798,0.797,0.791
2026-08-31,BULL_QUIET,NEUTRAL,135,13,35,COF,TSM,IT,CINF,NVO,0.851,0.831,0.808,0.806,0.792
